x,y,group
-2.7258,2.1339,1
-19.358,2.3196,1
5.8485,2.3155,1
-12.714,2.1635,1
0.73151,2.2246,1
-8.7366,2.3267,1
-5.4128,2.3129,1
-8.2637,2.3271,1
-6.1948,2.2746,1
-16.668,2.3106,1
-5.222,2.3413,1
-17.101,2.3742,1
-9.1635,2.2363,1
-6.6764,2.5425,1
-8.8405,2.368,1
12.207,-1.528,2
20.408,-1.5125,2
19.336,-1.5279,2
7.8141,-1.6365,2
-19.86,-1.7049,2
-28.157,-1.731,2
-20.61,-1.6748,2
-0.93838,-1.4929,2
1.7709,-1.5031,2
-11.55,-1.6239,2
2.2971,-1.5869,2
15.137,-1.6161,2
-16.99,-1.6663,2
-15.45,-1.9098,2
-23.634,-1.7937,2
-3.1719,-1.596,2
11.674,-1.6273,2
-14.785,-1.8725,2
9.9687,-1.4669,2
3.4261,-0.375,3
6.6531,-0.49523,3
19.845,-0.64355,3
10.957,-0.57594,3
19.334,-0.74011,3
-6.7559,-0.67338,3
17.127,-0.46177,3
-7.9721,-0.3821,3
-5.9928,-0.57102,3
9.1327,-0.43451,3
1.4346,-0.75396,3
-0.067032,-0.8255,3
14.064,-0.60725,3
-0.71978,-0.67999,3
8.2771,-0.60335,3
4.1786,-0.61925,3
13.206,-2.0875,4
18.567,-2.0275,4
15.84,-2.0013,4
10.722,-2.0672,4
13.049,-2.1347,4
11.939,-2.3123,4
15.955,-2.0372,4
12.135,-2.3174,4
15.126,-2.0643,4
17.573,-1.9429,4
19.831,-2.0194,4
17.798,-2.0232,4
-3.5597,2.0987,5
0.90398,2.043,5
1.2218,1.8542,5
-0.5257,2.0648,5
1.0272,2.0146,5
-1.9498,1.8851,5
0.77237,1.866,5
-3.7542,1.9356,5
-1.1843,2.0151,5
-3.0105,2.0943,5
-2.1758,2.1237,5
-2.8728,2.2826,5
45.118,-3.0447,6
46.603,-2.8864,6
39.362,-3.1452,6
32.489,-3.2142,6
32.427,-3.4318,6
32.494,-3.2264,6
32.972,-3.157,6
