18.209,18.096
17.303,15.959
19.783,21.903
18.908,16.932
19.894,18.854
18.932,13.672
17.573,18.753
18.252,18.56
19.885,22.089
18.972,19.157
18.907,22.091
19.394,21.316
18.434,15.386
16.828,14.753
19.346,22.096
17.65,13.554
19.299,15.69
16.905,16.276
17.63,18.798
18.062,14.878
18.642,19.911
20.75,20.948
19.408,17.668
19.093,16.144
18.137,12.353
18.803,17.584
16.875,12.893
18.258,13.735
18.478,14.463
18.568,14.671
18.309,21.089
19.459,19.925
18.085,15.517
17.914,12.66
17.942,16.996
20.435,16.941
20.961,21.008
16.807,12.874
18.732,16.111
19.942,18.767
17.818,18.418
18.009,17.738
18.1,16.552
21.107,16.986
19.912,16.987
-3.3358,4.6729
-2.1226,5.5892
-0.46304,5.6426
0.24064,8.8825
0.61749,6.3202
-1.2018,8.5833
-2.0758,6.0083
0.3039,6.0393
-0.31585,6.6975
-2.6077,2.4507
-2.0358,5.6623
-0.19558,13.06
-0.42297,10.479
-2.0659,11.345
-0.15332,9.9718
0.8744,10.98
-1.608,11.439
-0.095828,11.734
-0.26502,14.04
-4.002,1.3889
-1.1561,5.3872
-1.3459,5.4897
0.15232,5.2175
-3.8408,0.55364
0.085723,14.06
-0.13703,10.658
-3.1909,0.65777
-1.9884,2.434
-0.66426,11.42
-0.90411,4.0575
-1.5533,1.9572
-0.044878,5.5766
-2.034,1.4049
0.9055,11.559
-0.59663,12.701
-2.6396,0.76954
-1.3292,9.6318
-0.85732,10.388
-1.3121,4.2187
0.097862,11.449
-3.0792,3.4041
-4.029,1.6389
-3.5813,1.1796
1.1029,11.915
5.3003,3.9606
6.9184,5.5734
5.6031,3.6233
7.8045,5.298
5.1132,1.7838
6.1506,1.5567
4.9067,3.8692
6.2849,4.9718
7.6335,3.9355
5.2389,3.2722
5.4816,5.4669
6.609,1.5902
4.8853,3.7551
6.3452,6.5882
4.4408,-0.25554
8.1973,6.4105
6.4133,4.8299
6.4455,3.1059
5.5965,1.2192
5.8749,5.6798
6.7862,1.7202
8.0767,6.7399
6.044,2.3089
7.2919,3.4184
6.2009,0.41282
7.4194,4.7271
7.0145,5.3254
6.7471,3.8579
6.8077,6.7502
-7.7994,-7.8063
