x,y,group
-79.448,0.94065,1
-80.227,0.7871,1
-82.629,0.54503,1
-82.258,1.013,1
-85.493,-0.99307,1
-82.278,-0.044829,1
-78.619,0.75167,1
-84.258,0.22663,1
-85.269,-0.082586,1
-79.069,0.53194,1
-83.331,0.50152,1
-82.637,0.44283,1
-84.461,-0.36048,1
-83.008,0.14115,1
-80.29,0.87174,1
-85.247,0.43365,1
-79.582,1.2967,1
-81.789,0.10887,1
-84.913,-0.43953,1
-82.969,1.4676,1
-78.833,0.7773,1
-81.524,1.2499,1
-81.961,-0.1751,1
-82.301,0.42562,1
-83.234,0.80702,1
-82.085,0.098363,1
0.72553,-1.0616,2
-4.9917,-0.58417,2
2.9877,-1.1184,2
9.4985,-0.97857,2
3.6249,-0.90976,2
5.9338,-0.39816,2
-2.956,-0.66803,2
-6.6812,-0.36401,2
-4.0338,-1.2448,2
8.8866,-0.71442,2
3.5427,-1.0451,2
-6.6342,-0.89404,2
5.5903,-0.26617,2
6.0435,-0.8554,2
8.142,-0.87768,2
6.3771,-0.59672,2
0.58143,-0.84529,2
-6.3886,-0.2681,2
-5.6065,-0.29894,2
7.9121,-0.85826,2
9.5802,-1.4165,2
6.6375,-1.0517,2
-8.0685,-0.51068,2
-2.5152,-1.3858,2
11.206,-0.93895,2
65.732,0.47087,3
67.026,1.4467,3
63.248,1.5533,3
65.333,1.1632,3
65.235,0.97263,3
68.363,0.47154,3
64.951,-0.12456,3
65.536,0.49313,3
65.421,-0.51488,3
66.699,-0.079671,3
65.519,0.5959,3
64.816,1.0911,3
65.206,1.1163,3
64.408,0.11254,3
63.513,1.3183,3
64.559,1.1983,3
67.988,0.21256,3
64.309,1.0238,3
65.561,1.1835,3
67.075,0.22294,3
63.83,1.8259,3
125.93,0.3645,4
126.77,-0.15405,4
124.99,0.49602,4
126.2,-0.60083,4
126.48,0.23672,4
125.48,0.52282,4
125.59,0.081981,4
126.15,-0.012398,4
125.0,0.86383,4
125.8,0.89619,4
126.49,-0.62159,4
126.33,0.60579,4
127.28,1.076,4
124.94,0.34259,4
125.03,1.0013,4
125.26,0.29252,4
126.77,0.37881,4
126.06,0.77865,4
127.75,0.46183,4
126.15,0.75859,4
126.12,1.3324,4
125.77,0.14685,4
124.66,0.38551,4
126.17,0.4918,4
126.5,-0.45941,4
-94.042,-0.2251,5
-90.723,-0.47582,5
-90.482,-1.2776,5
-92.418,-0.4689,5
-94.123,-0.19718,5
-93.844,-0.18755,5
-92.845,-0.79314,5
-94.075,-0.88355,5
-90.757,-1.5783,5
-93.003,-0.64525,5
-90.376,-1.166,5
-94.079,-0.53478,5
-90.56,-1.105,5
-92.112,-0.59127,5
-90.357,-0.32211,5
-91.235,-0.95401,5
-93.017,0.072663,5
-91.151,0.032678,5
-17.572,0.92222,6
-15.315,0.9294,6
-15.962,0.23485,6
-16.067,0.91226,6
-18.669,0.25092,6
-18.567,0.58709,6
-15.662,0.46034,6
-15.913,0.8129,6
-16.892,1.1629,6
-17.348,-0.097714,6
-18.455,0.75775,6
-15.427,0.62909,6
-16.841,1.1064,6
-16.105,0.28742,6
-18.316,0.056651,6
-14.889,0.43088,6
-15.852,0.54268,6
-16.773,0.50459,6
-17.793,0.19156,6
-17.124,1.5535,6
-18.829,0.50732,6
-17.411,0.44427,6
-15.883,-0.0676,6
-18.794,0.51128,6
-16.339,0.32577,6
-16.474,0.44447,6
-17.752,0.061766,6
-15.232,-0.69447,6
-17.033,0.65878,6
-50.06,1.2295,7
-48.068,0.31014,7
-49.466,0.81639,7
-44.039,1.0796,7
-48.365,0.62498,7
-44.231,2.1152,7
-45.625,1.8978,7
-49.007,0.76632,7
-46.644,1.1675,7
-47.067,1.4339,7
-45.833,1.3065,7
-44.744,1.6325,7
-48.436,1.0608,7
-48.726,0.23431,7
-45.99,0.5058,7
-44.638,0.60205,7
-49.538,0.5998,7
-44.755,1.5851,7
-9.4852,1.3352,8
-11.753,0.43227,8
-12.634,0.69702,8
-11.48,0.87639,8
-11.885,0.58803,8
-9.6909,1.4153,8
-13.193,0.6394,8
-12.215,0.48899,8
-9.525,1.7873,8
-13.006,-0.12476,8
-9.7279,1.0825,8
-9.2425,1.8187,8
-10.515,1.7204,8
-11.367,0.45817,8
-11.834,1.2992,8
-10.52,1.5094,8
-12.395,0.35473,8
-13.305,0.05862,8
-12.298,0.60563,8
-12.075,1.6947,8
-9.9452,1.6053,8
-9.3092,1.9849,8
-12.217,1.1874,8
-13.641,0.2069,8
-9.8288,1.6636,8
-9.451,1.0949,8
-9.8374,1.4365,8
-12.704,0.61618,8
-12.867,-0.17992,8
-12.822,0.90126,8
-9.4955,2.0266,8
-10.243,1.6961,8
-12.297,-0.072959,8
-11.183,0.74522,8
-12.773,0.74846,8
-9.5844,1.9513,8
-10.353,1.0818,8
-8.6269,2.1315,8
