x,y,group
4.3619,-18.498,1
4.64,-18.295,1
2.097,-21.073,1
3.6141,-19.722,1
3.1877,-20.007,1
4.4608,-18.508,1
2.7669,-20.268,1
4.9267,-18.446,1
2.4656,-20.56,1
4.9783,-18.314,1
-18.382,27.391,2
-27.663,18.489,2
-29.479,16.736,2
-23.089,22.901,2
-29.905,16.099,2
-19.572,26.134,2
-18.663,27.344,2
-21.011,24.825,2
-27.019,19.122,2
-5.1838,6.2755,3
-3.5363,8.1674,3
-3.5904,7.7559,3
-4.9796,6.1844,3
-4.172,7.2835,3
-3.9297,7.6607,3
-5.3653,5.8856,3
-8.3539,2.8578,3
-6.7939,4.3074,3
-13.645,2.4684,4
-13.649,2.3648,4
-11.925,4.0936,4
-14.779,1.1332,4
-13.906,2.0565,4
-14.32,1.4358,4
-14.05,1.7808,4
-12.196,3.1248,4
-13.983,1.9608,4
-14.274,1.8973,4
3.971,-28.843,5
4.8892,-27.891,5
12.664,-21.118,5
7.0362,-26.177,5
10.712,-22.927,5
14.113,-19.725,5
7.5229,-25.487,5
-29.48,8.5091,6
-26.992,10.679,6
-31.278,6.6618,6
-29.048,8.6408,6
-31.782,6.3804,6
-27.454,9.8615,6
-31.841,6.1936,6
-1.6252,-6.0469,7
9.9235,4.4859,7
2.2262,-2.7455,7
-3.1384,-7.4377,7
-6.6183,-10.904,7
-3.8926,-8.2613,7
-1.3296,-5.9701,7
9.8636,-14.437,8
7.8841,-16.632,8
6.4029,-17.817,8
8.5102,-15.965,8
3.5426,-20.723,8
7.0571,-17.574,8
4.2078,-19.901,8
-1.5252,3.2459,9
-4.1544,0.4284,9
-1.2741,3.4029,9
-7.1142,-2.8677,9
-0.37114,4.3746,9
-5.2033,-0.7706,9
-6.9358,-2.421,9
-6.0254,-1.8275,9
-3.8624,0.40717,9
-0.99237,3.8657,9
-5.2108,-0.65934,9
-2.9493,-4.9393,10
-3.8426,-5.8707,10
-2.8091,-5.0909,10
-3.6993,-5.9418,10
-4.1635,-6.1373,10
-2.5241,-4.8847,10
-2.9876,-5.0084,10
-2.3698,-4.6423,10
-2.6784,-4.4534,10
-3.3051,-5.3086,10
-22.819,-0.50849,11
-27.192,-4.5826,11
-22.833,-0.50229,11
-31.572,-8.8768,11
-30.85,-7.6981,11
4.3233,11.212,12
1.1316,7.9491,12
1.1936,8.0356,12
3.0267,9.9241,12
-2.422,4.5969,12
1.0333,7.931,12
-1.9272,4.8187,12
3.9153,10.729,12
