x,y,group
0.0048137,0.42148,1
-0.084563,0.35955,1
-0.43035,0.11529,1
0.75508,1.0095,1
0.55615,0.86155,1
0.090732,0.49057,1
-0.010804,0.4234,1
0.48042,0.799,1
-0.02414,0.42689,1
0.29589,0.67281,1
0.42859,0.75242,1
0.050646,0.47327,1
0.78838,1.0617,1
0.65438,0.92245,1
0.30193,0.64172,1
-0.54718,0.0051893,1
-0.22168,0.2256,1
-0.17495,0.29162,1
0.64379,0.926,1
0.26243,0.63435,1
0.056612,0.50077,1
0.518,0.81764,1
2.4514,0.20261,2
-0.77597,-1.8224,2
0.020547,-1.2991,2
2.184,0.034153,2
2.6313,0.32664,2
0.20586,-1.2145,2
1.6734,-0.29062,2
2.2662,0.086134,2
1.7774,-0.24193,2
-0.7248,-1.764,2
-0.55282,-1.6655,2
2.802,0.4091,2
1.0258,-0.67117,2
-0.89968,-1.8854,2
2.5943,0.29612,2
-0.83036,-1.8321,2
2.2029,0.057482,2
0.5615,1.265,3
1.3331,1.8159,3
1.9926,2.2528,3
1.5823,1.9851,3
0.69008,1.361,3
1.3654,1.8122,3
1.1233,1.6734,3
1.1873,1.7094,3
1.6163,1.9985,3
0.62159,1.3239,3
1.8274,2.1501,3
0.8868,1.5198,3
1.5056,1.9399,3
0.65223,1.3181,3
1.2301,1.7313,3
1.7635,2.1006,3
1.9082,2.1813,3
0.89694,1.5114,4
0.58923,1.2741,4
-0.707,0.26787,4
0.65408,1.3183,4
0.85155,1.4664,4
-0.77427,0.23403,4
0.16768,0.94688,4
0.97591,1.5535,4
1.0523,1.6223,4
-0.37531,0.52955,4
-0.034703,0.79117,4
-1.4486,-0.71668,5
-0.054688,0.24095,5
-0.55875,-0.083153,5
0.35184,0.51773,5
-0.25014,0.11246,5
2.0334,1.7033,5
-0.49221,-0.056755,5
1.7922,1.5462,5
0.39344,0.57742,5
-0.32374,0.057593,5
1.6582,1.4542,5
-1.8222,-0.97471,5
0.71362,0.78896,5
-0.79733,-0.28346,5
-0.92934,-0.36436,5
0.973,0.97913,5
-0.7062,-0.19316,5
0.63597,0.75498,5
-1.0528,-0.43359,5
1.2905,1.2014,5
1.7158,1.4825,5
0.86944,0.92318,5
0.37923,-0.35849,6
0.29565,-0.41586,6
0.51114,-0.26335,6
0.44711,-0.28875,6
0.234,-0.47635,6
0.022682,-0.61981,6
0.5949,-0.20656,6
0.50662,-0.25937,6
-0.012236,-0.66043,6
0.24205,-0.45631,6
0.42028,-0.30695,6
0.62335,-0.17289,6
0.27626,-0.43674,6
0.049048,-0.60273,6
0.22176,-0.46923,6
0.0683,-0.59883,6
0.43994,-0.30025,6
0.12756,-0.54066,6
0.71726,-0.10704,6
0.29342,-0.41912,6
0.53068,-0.24654,6
0.67551,-0.1464,6
0.093795,-0.55842,6
0.13264,-0.54924,6
0.047803,0.27615,7
-0.33114,-0.015243,7
1.723,1.669,7
-1.3867,-0.87649,7
0.61258,0.76355,7
1.4214,1.4153,7
-0.95145,-0.54011,7
1.033,1.1052,7
1.7708,1.7113,7
1.1725,1.2186,7
0.23157,0.44917,7
-1.1703,-0.6975,7
-1.5182,-0.98814,7
0.60129,0.76293,7
-0.45285,-0.10681,7
-1.2686,-0.79131,7
-1.3419,-0.84141,7
1.0409,1.1123,7
1.5331,1.4852,7
0.14414,0.36455,7
1.7693,1.7167,7
2.1509,0.36664,8
0.052991,-1.3862,8
-0.66496,-1.9642,8
2.1313,0.34171,8
1.2086,-0.40561,8
1.0594,-0.56179,8
-0.24172,-1.6395,8
-0.17955,-1.6001,8
1.6289,-0.071122,8
2.9204,0.98284,8
-0.25163,-1.6417,8
0.83719,-0.73533,8
-1.1619,-2.4029,8
3.7559,1.7059,8
2.3021,0.50923,8
2.1446,0.34914,8
4.1985,2.0981,8
-0.57991,-1.9435,8
3.6763,1.6344,8
0.1178,1.2879,9
0.25236,1.3729,9
0.46573,1.4981,9
